TF_id,mean_value,pvalue,TFPeak_number,rank
GSE46986.SEP3.Ler_inflorescence_4w-4d,0.33159621155642316,1.977321104279332e-70,9530,53
GSE94486.ARR14.Col-0_seedling_3d-6BA-72h,0.40040576905907854,6.536260006070197e-70,20651,54
GSE94486.ARR12.Col-0_seedling_3d-6BA-4h,0.33224228519393784,1.1467485979281794e-69,8438,55
GSE80564.RD26.Col-0_seedling_3d-EtOH,0.39167850939231064,1.1500439755039582e-69,19708,56
GSE80564.BHLH122.Col-0_seedling_3d-EtOH,0.36220119833537134,4.3303559070243005e-68,14378,57
GSE14600.SEP3.Col-0_inflorescence_5-7w,0.26305469371688334,8.171910029652996e-68,6099,58
GSE108455.AGL8.Col-0_Inflorescence-meristem_6w,0.3767479690051689,1.2690917414832955e-67,16681,59
GSE43283.PIF1.Col-0_seedling_3d,0.226489155201326,9.49770788423854e-67,3728,60
GSE36361.APRR5.Col-0_whole-plant_18d,0.2993815205692396,8.09317948712095e-66,8167,61
GSE94486.ARR1.Col-0_seedling_3d-6BA-4h,0.24247127653813855,8.780482309305058e-66,4328,62
GSE60141.FUS3.Col-0_leaves_tnt_col,0.14277864846250715,1.6954885735663085e-63,1168,63
GSE60142.ABI5.Col-0_seedling_36h-ypet,0.2915927815823844,2.0599897855550893e-63,8475,64
GSE95301.AGO1.Col-0_seedling_10d-wt,0.4481814075461771,2.4962059633126407e-63,22886,65
GSE80564.NFYB2.Col-0_seedling_3d-EtOH,0.39122451517463186,8.603452257168824e-60,26676,66
GSE80564.ATHB-6.Col-0_seedling_3d-ABA,0.35204096912765215,1.7516285856060673e-59,20225,67
GSE80564.NFYC2.Col-0_seedling_3d-ABA,0.37190590379928123,2.985517146024077e-59,19865,68
GSE80564.AT5G04760.Col-0_seedling_3d-ABA,0.3645941217335197,5.556860701419881e-59,22584,69
GSE80564.NFYC2.Col-0_seedling_3d-EtOH,0.35103344397859787,7.180101369349681e-59,15345,70
GSE64245.LFY.Col-0_seedling_15d-LFY,0.29456643270333227,2.9593510318842804e-58,10429,71
GSE35059.PIF5.Col-0_seedling_14d,0.150575561292224,4.4208814555494616e-58,2391,72
GSE95301.AGO1.Col-0_seedling_10d-mutant,0.44234042584978406,7.799940346557034e-57,25646,73
GSE80564.ATHB-7.Col-0_seedling_3d-ABA,0.35122554965322306,1.594165540948736e-56,23413,74
GSE80564.NFYB2.Col-0_seedling_3d-ABA,0.37784210613577285,5.140253890409504e-55,28697,75
GSE94486.ARR1.Col-0_seedling_3d-mock-4h-etiolated,0.2107519423180078,4.804575711466131e-52,3203,76
GSE85922.WRKY33.Col-0_seedling_12d,0.2114656646606435,9.745704180505382e-51,9828,77
GSE109149.WRKY18-33-40.Col-0_seedling_12d-wt-flg22-2h,0.2898243927650712,6.086771802149485e-50,15832,78
GSE94926.RGA.Ler_inflorescence-apices,0.2819487412673956,1.3579728472397876e-49,10497,79
GSE24568.LFY.Col-0_seedling_15d,0.20726752103518062,7.434551324008598e-49,5770,80
GSE80564.NAC032.Col-0_seedling_3d-EtOH,0.1603509523241473,1.4601706706342138e-48,2506,81
GSE59187.RGA.Ler_seedling_11d,0.17318028977989325,4.4464879834903795e-48,4366,82
GSE80564.BHLH122.Col-0_seedling_3d-ABA,0.2507130559224497,2.1111341322833642e-47,7587,83
GSE80564.HSFA6A.Col-0_seedling_3d-ABA,0.2532647777705711,9.651789918306748e-47,7368,84
GSE52175.LHY.Ws_seedling_2w-mutant,0.2809162543080611,1.8035048901545884e-46,18257,85
GSE85651.HSFA1B.Col-0_leaves_5w-mutant-NS,0.2610132931109764,1.4911182234748553e-45,12695,86
GSE35315.PIF4.Col-0_seedling-etiolated,0.14280560774489168,1.5235576941223217e-45,1973,87
GSE54881.SVP.Col-0_seedling_2w-FLC,0.25186166922184794,1.570054627725536e-45,8337,88
GSE117797.HY5.Ws_whole-plant_10d-blue-light,0.28265604338027056,4.1514003454635347e-45,14500,89
