TF_id,WT_E5_0h,WT_E5_4h,WT_E5_8h,WT_E5_16h,WT_E5_24h,WT_E5_48h,WT_E5_72h
ARR10,-1.8482358655280715,0.15280881684778594,-0.755682313701047,-0.22098355699006716,1.4406418959144562,1.2837854440751753,0.9067873900507394
BZR2,-0.35763418638328603,0.6679297018458067,0.5435583937486402,0.7828422361668773,0.00764050481360323,-0.3354549681245942,-0.9933359357727133
HY5,0.7890029591708179,0.6650635915690216,0.2755153348479652,-0.8976850425648542,-1.0872472127541892,0.20710576519628485,-0.27838342895183804
PIF1,-0.797869134836663,-0.2785233434375608,0.3951804160449395,0.3943348651281237,0.6674987228118568,0.6354107335496054,-0.18867270984738876
SMZ,-0.18823910299236624,-2.091798979325984,-2.4553540685684574,2.52447666623894,0.04255145919788698,2.872881321641913,-0.08244572599117134
SOC1,1.1869614509702011,0.9456434546504323,0.38721906757197205,-0.8517479061688054,-0.8820998225314912,-0.5581327156842085,-0.6097261454995866
SVP,-0.3939646996178113,0.5448866620744134,-0.07114620604225387,-0.317560910292338,-0.39518041604493936,0.6217603049723717,-0.21494232502347727
AP3,0.034935225287750636,1.0431694375496836,-0.18192357564249742,-0.00866065782493607,0.9208485050424954,-1.0077105295533944,-0.20625205014426173
FHY3,-0.1822421118250071,-1.401594126096938,-0.18388631285029,2.503346544417212,-1.7604632026121814,0.6238997246054181,0.6099036317891274
FLC,0.2485752124924456,1.2638728408343392,-0.8844193301622078,-1.2083199221884093,-1.643060569803946,0.7645024444813623,0.9951744499845381
PI,0.46264010580241755,0.01140390899353724,-0.04925609743695848,-0.44685562177512755,0.1937678076491528,-0.233608740828245,0.017227729682649708
PIF3,1.7788826281102201,-1.4932237074530004,-1.831515119940048,-1.7401581162500048,-0.5125792898099555,1.5106200619672856,1.800711807614279
PIF4,-1.1074767760952267,-0.9927355310392427,-1.0692117112989674,0.3131549875313966,1.4619166144718614,1.3402908338133903,1.0290469261411588
PIF5,2.2276527342885504,-3.3223759607849113,-3.1576189788239373,-2.651015120824486,1.9762016305467691,2.443615127552632,3.6365964084307056
SEP3,-0.0882621496801546,0.10094567191678318,0.49357677420220164,-2.1895683147768588,-0.44266917206940437,0.26456529601564927,0.8763026822530643
