TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
GSE40329.RPS4.Col-0_leaves_3-5w,0.0912232204561161,0.063,6.839518813811785e-4,0.24895848482274896,0.0010856379069542515,147
GSE60141.WRKY24.Col-0_leaves_tnt_col,0.01520387007601935,0.005666666666666667,6.979748973478108e-4,0.25336488773725535,0.001100410874196999,148
GSE95301.AGO1.Col-0_seedling_10d-wt_Flg22control,0.7802349689011748,0.673,7.072031372924726e-4,0.2560075356998751,0.0011074769487801584,149
GSE60141.ANL2.Col-0_leaves_tnt_col,0.017277125086385625,0.007,7.54042665496776e-4,0.27220940224433615,0.0011729552574394292,150
GSE60141.ATMYB119.Col-0_leaves_tnt_colamp,0.18175535590877678,0.14533333333333334,8.257174706517132e-4,0.2972582894346168,0.0012759431113823383,151
GSE60141.ATHB-15.Col-0_leaves_tnt_col,0.010366275051831375,0.003,8.422355951437216e-4,0.30236257865659605,0.0012929055188609761,152
GSE60141.ZHD1.Col-0_leaves_tnt_col,0.04768486523842433,0.029,8.680894026379828e-4,0.3107760061443978,0.0013238836205808015,153
GSE54881.SVP.Col-0_seedling_2w-flc-3,0.08914996544574982,0.059,8.908239143486241e-4,0.3180241374224588,0.001349733203558521,154
GSE95301.AGO1.Col-0_seedling_10d-wt_Coldcontrol,0.6917760884588804,0.5833333333333334,9.394658278596106e-4,0.33444983471802137,0.001410845194455676,155
GSE60554.MYB3R-3.Col-0_seedling_9d,0.2453351762266759,0.19866666666666666,9.432507871503662e-4,0.33485402943838,0.001410845194455676,156
GSE60141.AT5G47660.Col-0_leaves_tnt_colamp,0.21976503109882514,0.175,0.001320568638159844,0.4674812979085848,0.0019626285492821464,157
GSE30711.FHY3.No-0_seedling_4d-dark,0.082930200414651,0.059333333333333335,0.001616571756921403,0.5706498301932552,0.002387342257056924,158
