TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
GSE108960.CLF.Col-0_seedling_10d,96,96/1447,667/22994,2.0037975650721094e-14,2.610170656519188,8.255645968097091e-12,5.459622351210965e-14,92
GSE85922.WRKY40.Col-0_seedling_12d,247,247/1447,2470/22994,3.6609839158041e-14,1.7891745580655505,1.504664389395485e-11,9.867598224676283e-14,93
GSE80564.ATHB-6.Col-0_seedling_3d-ABA,1051,1051/1447,14643/22994,5.405136998405443e-14,1.5533028854571684,2.2161061693462316e-11,1.4413698662414516e-13,94
GSE60142.ABI5.Col-0_seedling_36h-wt,276,276/1447,2956/22994,2.896291999561888e-12,1.6592353223530245,1.1845834278208122e-9,7.64214590761593e-12,95
GSE109149.WRKY18-33-40.Col-0_seedling_12d-wt-flg22-2h,794,794/1447,10611/22994,4.0014622190094456e-12,1.4528285494890911,1.6325965853558538e-9,1.0448262460746886e-11,96
GSE67903.CCA1.Col-0_seedling_14d,355,355/1447,4123/22994,4.6408275778839916e-11,1.5338842012402898,1.8888168241987848e-8,1.1992791541473408e-10,97
GSE60141.BHLH122.Col-0_leaves_tnt_col,49,49/1447,280/22994,6.480217249944629e-11,3.234033728692216,2.6309682034775192e-8,1.6575249564484221e-010,98
GSE60141.BIM2.Col-0_leaves_tnt_col,260,260/1447,2825/22994,6.726960174841983e-11,1.6209334976590979,2.7244188708110034e-8,1.703257256390967e-10,99
GSE80564.AT5G04760.Col-0_seedling_3d-ABA,1143,1143/1447,16522/22994,9.122644197767949e-11,1.5079319977600447,3.6855482558982515e-8,2.2867428122404991e-10,100
GSE95301.AGO1.Col-0_seedling_10d-wt,995,995/1447,14041/22994,1.9444033341476106e-10,1.4344001232400063,7.83594543661487e-8,4.825713885409251e-10,101
GSE46986.AP1.Ler_inflorescence_4w-2d,108,108/1447,919/22994,2.1280251006992307e-10,2.062192302670591,8.554660904810908e-8,5.229656456620332e-10,102
GSE52175.LHY.Ws_seedling_2w-mutant,923,923/1447,12894/22994,4.51593652555936e-10,1.4090188927115546,1.8108905467493033e-7,1.0990240346992358e-9,103
GSE48082.MAF1.Col-0_seedling_10d-genomicFLM,305,305/1447,3532/22994,1.339188242211749e-9,1.5161794808536904,5.356752968846996e-7,3.227787045330882e-9,104
GSE80564.NFYC2.Col-0_seedling_3d-EtOH,865,865/1447,12020/22994,1.8275080194501854e-9,1.3845700455631715,7.291756997606239e-7,4.3628127956398076e-009,105
GSE64245.LFY-TERE.Col-0_seedling_15d-LFY-TERE,271,271/1447,3072/22994,1.89711762714068e-9,1.5422226885884227,7.550528156019907e-7,4.486265583678589e-9,106
GSE60141.ZHD6.Col-0_leaves_tnt_colamp,364,364/1447,4411/22994,4.682443740918866e-9,1.453348079447234,1.8589301651447896e-6,1.0969463218601205e-8,107
GSE68193.CRY2.Col-0_seedling_5d,202,202/1447,2174/22994,6.560618237222687e-9,1.6105140489724938,2.598004821940184e-6,1.522711393330698e-8,108
GSE80564.ATHB-7.Col-0_seedling_3d-ABA,1139,1139/1447,16678/22994,1.49374650772007e-8,1.429828495310726,5.900298705494277e-6,3.4351601645427906e-8,109
GSE70533.CCA1.Ws-2_seedling_14d-LL,192,192/1447,2070/22994,1.8904715598202505e-8,1.6022556106095898,7.448457945691787e-6,4.307983675711601e-8,110
GSE60141.HDG1.Col-0_leaves_tnt_col,47,47/1447,311/22994,2.1178960752258177e-8,2.706117046787066,8.323331575637464e-6,4.7827563020114564e-8,111
GSE84483.AZF1.Col_whole-plant_30h,105,105/1447,971/22994,3.439603622574183e-8,1.868492857096783,1.3483246200490797e-5,7.698160488618408e-8,112
GSE94486.ARR1.Col-0_seedling_3d-Dex-4h,701,701/1447,9568/22994,3.506939854402481e-8,1.3437222647779719,1.3712134830713702e-5,7.77940640268633e-8,113
GSE45938.AG.Ler-0_inflorescence_4w,198,198/1447,2187/22994,6.864145371794838e-8,1.5587635630700298,2.677016694999987e-5,1.5093091577747712e-7,114
GSE60141.SPL1.Col-0_leaves_tnt_colamp,153,153/1447,1611/22994,1.4910927229153468e-7,1.6290905073119064,5.800350692140699e-5,3.2501499351662057e-7,115
GSE85651.HSFA1B.Col-0_leaves_5w-mutant-NS,718,718/1447,9953/22994,3.2251575328209633e-7,1.3130428033848958,1.2513611227345337e-4,6.969305932992425e-7,116
GSE60141.ZHD3.Col-0_leaves_tnt_colamp,260,260/1447,3099/22994,3.877020360891472e-7,1.4433643742245459,1.5004068796649995e-4,8.306322824474036e-7,117
GSE60554.MYB3R-3.Col-0_seedling_9d,322,322/1447,3983/22994,4.019426263226285e-7,1.3983294826704744,0.00015514985376053461,8.538442231486345e-7,118
GSE60141.PC-MYB1.Col-0_leaves_tnt_colamp,206,206/1447,2357/22994,4.909942209605738e-7,1.4967764356243292,1.8903277506982093e-4,1.03201100553372e-6,119
GSE80564.NFYC2.Col-0_seedling_3d-ABA,1034,1034/1447,15081/22994,4.940478217980575e-7,1.3367274676097116,1.8971436357045408e-4,1.03201100553372e-6,120
GSE109149.WRKY18-33-40.Col-0_seedling_12d-mutant-flg22-2h,711,711/1447,9869/22994,5.103953089746673e-7,1.306825729749854,1.9548140333729757e-4,1.0573478577106055e-6,121
GSE80564.RD26.Col-0_seedling_3d-ABA,1070,1070/1447,15719/22994,9.504504221332916e-7,1.3364603356216336,3.630720612549174e-4,1.952838025803922e-6,122
GSE60141.AtbZIP52.Col-0_leaves_tnt_colamp,146,146/1447,1573/22994,1.1101896659921325e-6,1.5822199446483831,4.229822627430025e-4,2.262500349122178e-6,123
GSE95301.AGO1.Col-0_seedling_10d-mutant,1021,1021/1447,14938/22994,1.7736076695786527e-6,1.3139627543909627,6.73970914439888e-4,3.585357439578352e-6,124
GSE35952.APRR1.C24_seedling_2w,45,45/1447,349/22994,3.902654822486524e-6,2.242693625807597,0.0014791061777223924,7.826123804026309e-6,125
GSE54881.SVP.Col-0_seedling_2w-flc-3,115,115/1447,1201/22994,3.943294901560236e-6,1.626587922516082,0.0014905654727897693,7.844861814744173e-6,126
GSE60141.BEH2.Col-0_leaves_tnt_col,133,133/1447,1450/22994,6.289626997303774e-6,1.554724840484588,0.002371189377983523,1.24141719211875e-5,127
GSE60141.BZIP68.Col-0_leaves_tnt_col,213,213/1447,2545/22994,6.406065767207644e-6,1.4222229187510091,0.002408680728470074,1.2545212127448302e-5,128
GSE117797.HY5.Ws_whole-plant_10d-blue-light,793,793/1447,11330/22994,7.775637275531874e-6,1.2669510093034637,0.002915863978324453,1.5109248659431444e-5,129
GSE80564.DREB2A.Col-0_seedling_3d-EtOH,137,137/1447,1526/22994,1.3395783514882687e-5,1.51768884647388,0.005010023034566125,2.5829818469722514e-5,130
GSE60141.ZHD14.Col-0_leaves_tnt_col,41,41/1447,325/22994,1.747014390178486e-5,2.1831475425704054,0.006516363675365753,3.342887586295728e-5,131
GSE60141.GBF3.Col-0_leaves_tnt_colamp,186,186/1447,2218/22994,2.4006923407199988e-5,1.4165565690002009,0.008930575507478396,4.558890505609694e-5,132
GSE60141.ATMYB119.Col-0_leaves_tnt_colamp,246,246/1447,3068/22994,2.4337904996850213e-5,1.3590954274339746,0.009029362753831429,4.586993623466506e-5,133
GSE40329.RPS4.Col-0_leaves_3-5w,119,119/1447,1317/22994,3.825474536391829e-5,1.5220255970219045,0.014154255784649766,7.156111570563819e-5,134
GSE60141.BMY2.Col-0_leaves_tnt_col,102,102/1447,1101/22994,5.299973830025448e-5,1.559798611536563,0.019556903432793905,9.840939062170709e-5,135
GSE109149.WRKY18-33-40.Col-0_seedling_12d-wt-flg22-0h,694,694/1447,9896/22994,5.4923791850713874e-5,1.2364212934636998,0.020211955401062704,1.0123208694053146e-4,136
GSE60141.HY5.Col-0_leaves_tnt_colamp,193,193/1447,2352/22994,5.891731853043958e-5,1.3820770028870273,0.021622655900671327,1.0780005726250746e-4,137
GSE60141.SPL1.Col-0_leaves_tnt_col,94,94/1447,1002/22994,6.57342005168211e-5,1.5791353277173048,0.024058717389156523,1.1940125311267987e-4,138
GSE60141.BZR1.Col-0_leaves_tnt_col,21,21/1447,131/22994,6.868201972505624e-5,2.8697180502982507,0.02506893719964553,1.2385822262168415e-4,139
GSE45846.SOC1.Col-0_whole-plant_18d,112,112/1447,1246/22994,8.012227269614623e-5,1.5101444942424311,0.029164507261397226,1.4345702158929038e-4,140
GSE60141.ATHB-9.Col-0_leaves_tnt_col,46,46/1447,407/22994,8.844115084613347e-5,1.9268752135620204,0.03210413775714645,1.5722871261534838e-4,141
GSE40329.RPS4.Col-0_leaves_3-5w-eds1,129,129/1447,1480/22994,9.172627081876045e-5,1.4630985210746026,0.03320491003639128,1.619205531824128e-4,142
GSE60141.EICBP-B.Col-0_leaves_tnt_col,125,125/1447,1428/22994,9.851874651035534e-5,1.4689923168491763,0.03556526749023828,1.7269486567782568e-4,143
GSE38358.PI.Ler_flower_4w-dex,299,299/1447,3916/22994,1.1720500597262074e-4,1.2910875942763127,0.04219380215014347,2.0402352891530276e-4,144
GSE109149.WRKY18-33-40.Col-0_seedling_12d-mutant-flg22-0h,709,709/1447,10196/22994,1.3281005901682764e-4,1.2212438417995213,0.04767881118704112,2.2959348133483765e-4,145
GSE60141.ANL2.Col-0_leaves_tnt_col,25,25/1447,179/22994,1.4952527399635527e-4,2.4420164091135432,0.053530048090695184,2.567191918841533e-4,146
GSE60141.LHY.Col-0_leaves_tnt_col,85,85/1447,912/22994,1.8083775137040246e-4,1.5635518905399468,0.06455907723923368,3.083673220647226e-4,147
GSE60141.TCP22.Col-0_leaves_tnt_col,57,57/1447,563/22994,2.750055209392756e-4,1.7051477246602045,0.09790196545438211,4.657751165458001e-4,148
GSE60141.BEH3.Col-0_leaves_tnt_col,53,53/1447,516/22994,3.1375852571117097e-4,1.73129495024589,0.1113842766274657,5.278443206595091e-4,149
GSE57497.SPCH.Col_seedling_4d,1087,1087/1447,16374/22994,3.297011230297334e-4,1.2364197744560845,0.11671419755252561,5.509672100407989e-4,150
GSE60141.IDD4.Col-0_leaves_tnt_col,55,55/1447,543/22994,3.451717445779008e-4,1.7050120478876336,0.12184562583599899,5.730003353699368e-4,151
GSE60141.AT5G47660.Col-0_leaves_tnt_colamp,291,291/1447,3863/22994,3.710965347712036e-4,1.266740561837612,0.13062598023946367,6.119837590963709e-4,152
GSE60141.WRKY71.Col-0_leaves_tnt_col,113,113/1447,1322/22994,5.195583778896136e-4,1.4249331411562363,0.18236499063925438,8.512154687864694e-4,153
GSE60141.TCP21.Col-0_leaves_tnt_col,65,65/1447,681/22994,5.408045705040335e-4,1.5980877092008572,0.18928159967641173,8.802706428983403e-4,154
GSE60141.TCP20.Col-0_leaves_tnt_col,47,47/1447,454/22994,5.626200210355076e-4,1.7436777524724896,0.19635438734139216,9.098715178896811e-4,155
GSE60141.WRKY70.Col-0_leaves_tnt_col,63,63/1447,657/22994,5.803440336864916e-4,1.6056477111818377,0.20195972372289908,9.325186182312857e-4,156
GSE60141.AT5G58900.Col-0_leaves_tnt_colamp,335,335/1447,4553/22994,6.493794877261521e-4,1.2376636284755607,0.22533468224097478,0.001036801220318612,157
GSE60141.TCP15.Col-0_leaves_tnt_colamp,43,43/1447,409/22994,6.917709286470045e-4,1.7723615352527742,0.23935274131186357,0.001097493118866134,158
GSE60141.ATHB-15.Col-0_leaves_tnt_col,15,15/1447,94/22994,7.532028216970271e-4,2.846304107589535,0.2598549734854743,0.0011874392493001348,159
GSE60141.TGA4.Col-0_leaves_tnt_colamp,179,179/1447,2271/22994,8.205246322995122e-4,1.3127951816510337,0.28226047351103223,0.0012854885906025692,160
GSE30711.FHY3.No-0_seedling_4d-dark,116,116/1447,1383/22994,8.762957404191107e-4,1.3949609413935404,0.300569438963755,0.0013643362252488017,161
GSE60141.TCP24.Col-0_leaves_tnt_col,19,19/1447,136/22994,8.834272781837813e-4,2.4367771280053003,0.30213212913885323,0.0013669492041032995,162
